Designator,Footprint,Quantity,Value,LCSC Part #
BT1,MS621FE-FL11E,1,Battery_Holder_MS621FE-FL11E,
"C1, C2",C_Pol_EIA-X,2,C_Pol_100u_25V_KEMET-T521-D-107,C696814
"C10, C108, C109, C110, C112, C13, C14, C15, C16, C17, C18, C19, C20, C9",0402,14,C_220n_0402,C106257
"C100, C101, C102, C104, C111, C113, C118, C119, C121, C124, C125, C130, C131, C132, C133, C135, C138, C139, C140, C141, C143, C144, C157, C158, C159, C163, C164, C25, C26, C27, C29, C31, C33, C36, C37, C40, C41, C42, C43, C44, C45, C48, C50, C53, C54, C55, C57, C58, C6, C60, C61, C62, C63, C64, C65, C67, C68, C69, C7, C70, C71, C72, C73, C75, C78, C8, C86, C87, C88, C89, C90, C91, C92, C96, C97",0402,75,C_100n_0402,C85960
"C103, C120, C126, C127, C128, C129, C153, C154",0603,8,C_22u_16V_0603,C2762594
"C105, C106, C107, C114, C115, C123, C142, C47, C93, C94, C95, C98, C99",0402,13,C_1u_0402,C2182694
"C11, C12, C21, C22, C23, C24, C51, C66, C74",0603,9,C_10u_0603,C77044
"C116, C117, C137, C28, C30, C34, C35, C49, C56, C59, C83",0402,11,C_10u_0402,C105884
"C122, C151, C152, C5",0805,4,C_22u_25V_0805,C602037
"C134, C32",0603,2,C_10u_25V_0603,C2168289
"C136, C148, C155, C156",0402,4,C_4u7_25V_0402,C5846150
"C145, C146",0402,2,C_47p_0402,C2169042
"C147, C149, C150",0402,3,C_1u_25V_0402,C3898487
C77,0603,1,C_10n_0603,C597086
"D1, D11, D18, D2, D20, D24, D25, D26, D27, D3, D4, D5, D51, D52, D53, D54, D8, D9",0603,18,LED_G_0603_LTST-C190GKT,C125093
"D10, D30, D31, D32, D33",SOD-923,5,ESD9X5.0ST5G,C41364466
