Designator,Mid X,Mid Y,Rotation,Layer
BT1,106.348313,55.98,270.0,bottom
C1,33.755,45.16,0.0,top
C10,97.3,33.55,180.0,top
C100,109.79,31.22,0.0,bottom
C101,39.725,42.45,90.0,bottom
C102,36.0,32.93,270.0,top
C103,25.53,34.12,90.0,top
C104,57.25,18.45,90.0,bottom
C105,107.365,19.7,0.0,top
C106,107.65,15.65,0.0,top
C107,110.25,15.265,270.0,top
C108,106.6,42.5,180.0,top
C109,106.6,41.5,180.0,top
C11,84.2,42.1,180.0,top
C110,106.6,44.8,180.0,top
C111,104.96,36.45,180.0,top
C112,106.6,45.8,180.0,top
C113,104.96,37.44,180.0,top
C114,118.25,15.96,0.0,top
C115,117.55,9.45,0.0,top
C116,30.15,49.8,180.0,bottom
C117,26.55,51.55,180.0,bottom
C118,35.55,52.25,0.0,bottom
C119,35.55,53.25,180.0,bottom
C12,84.95,25.9,90.0,top
C120,26.89,34.12,90.0,top
C121,44.32,39.31,270.0,top
C122,41.83,41.93,0.0,top
C123,50.48,39.62,270.0,top
C124,41.55,53.05,90.0,bottom
C125,45.67,42.41,0.0,top
C126,41.5,37.08,270.0,top
C127,40.175,37.08,270.0,top
C128,42.825,37.08,270.0,top
C129,28.25,34.12,90.0,top
C13,96.985,45.0,180.0,bottom
C130,110.26,2.15,0.0,bottom
C131,67.7,39.5,180.0,bottom
C132,65.8,37.775,180.0,bottom
C133,67.7,36.25,180.0,bottom
C134,46.51,49.2,270.0,bottom
C135,65.8,34.8,180.0,bottom
C136,32.65,19.55,270.0,bottom
C137,41.45,48.15,0.0,bottom
C138,60.275,45.25,180.0,bottom
C139,60.275,46.2,180.0,bottom
C14,96.985,42.0,180.0,bottom
C140,52.15,20.75,180.0,top
C141,52.15,23.15,180.0,top
C142,32.28,44.39,90.0,bottom
C143,52.15,21.75,180.0,top
C144,52.15,24.15,180.0,top
C145,22.15,11.95,270.0,bottom
C146,25.15,11.95,90.0,bottom
C147,28.8,21.7,0.0,bottom
C148,43.75,20.55,180.0,bottom
C149,44.6,14.5,0.0,bottom
C15,96.985,39.0,180.0,bottom
C150,17.55,48.65,90.0,bottom
C151,41.83,40.12,0.0,top
C152,32.93,35.8,0.0,top
C153,29.61,34.12,90.0,top
C154,44.14,37.08,270.0,top
C155,50.48,37.71,270.0,top
C156,31.64,28.23,180.0,top
C157,38.92,29.33,270.0,top
C158,17.79,17.5,270.0,bottom
C159,18.05,16.07,0.0,bottom
C16,97.0,36.0,180.0,bottom
C163,59.55,12.7,270.0,top
C164,59.55,10.8,90.0,top
C17,96.985,44.0,180.0,bottom
C18,96.985,41.0,180.0,bottom
C19,96.985,38.0,180.0,bottom
C2,33.755,40.32,0.0,top
C20,97.0,35.0,180.0,bottom
C21,84.7,50.8,0.0,bottom
C22,84.75,37.25,0.0,bottom
C23,84.75,35.75,0.0,bottom
C24,84.75,33.75,0.0,bottom
